step,total_loss,bc_loss,q_loss,policy_loss,diffusion_loss,vae_loss
0,11.3297,2.4255,0.0331,-0.0078,1.0128,2.4285
1000,3.7782,0.7738,0.0074,-0.9741,0.5789,2.3199
2000,1.6378,0.7228,0.0336,-5.9915,0.5668,2.2089
3000,-1.0167,0.7271,0.0619,-12.9153,0.5514,2.21
4000,-3.4108,0.6878,0.071,-18.5525,0.5393,2.1777
5000,-8.133,0.6943,0.2081,-31.7755,0.545,2.1128
6000,-12.8879,0.6595,0.4422,-45.6321,0.5386,2.0993
7000,-7.3605,0.6795,2.9471,-57.1001,0.5486,2.1231
8000,-20.6511,0.6646,2.0733,-81.453,0.5609,2.0879
9000,-23.1194,0.7186,4.0459,-107.8581,0.5573,2.0434
10000,-4.369,0.7538,10.4509,-125.4087,0.5618,2.0685
11000,-46.3655,0.6631,3.519,-160.1404,0.5611,2.0052
12000,-69.9266,0.701,1.4244,-198.3887,0.5255,2.0089
13000,-56.5515,0.7264,6.0302,-211.2812,0.5364,1.9901
14000,-68.1681,0.6988,10.7698,-287.4676,0.5469,1.9869
15000,-91.3185,0.759,6.2544,-300.8283,0.5565,2.0123
16000,-62.3292,0.6927,17.6147,-341.1975,0.5235,1.9835
17000,-97.4554,0.7478,15.5166,-408.6376,0.5499,1.9611
18000,-134.1119,0.7561,10.1643,-446.8356,0.5389,2.0095
19000,-111.2218,0.762,19.9034,-487.0898,0.5635,1.9442
20000,23.1153,0.766,55.2793,-504.9536,0.5151,2.0016
21000,-143.6056,0.7128,22.6269,-594.7224,0.5326,1.9606
22000,-220.4025,0.7663,11.1429,-672.4331,0.54,1.9702
23000,-174.5444,0.7579,19.6323,-642.5933,0.5439,1.9402
24000,-70.9331,0.7366,58.472,-771.7172,0.5224,1.9847
25000,-228.6164,0.7341,23.166,-812.921,0.5552,1.9832
26000,-12.4163,0.6544,87.7456,-917.3234,0.5249,1.9419
27000,-280.3095,0.7185,26.075,-971.0645,0.5489,1.9654
28000,781.3116,0.7841,295.4383,-1011.2253,0.5192,1.9637
29000,436.1658,0.8116,214.6393,-1066.4895,0.573,1.9238
30000,323.6024,0.6824,194.7021,-1147.1255,0.5298,1.9244
31000,149.5339,0.7694,174.7154,-1383.3516,0.5528,1.9121
32000,-376.9845,0.7052,33.7202,-1289.0046,0.5362,1.8962
0,11.7534,2.5007,0.0595,-0.0036,1.013,2.5067
33000,-351.7704,0.7749,48.6967,-1376.4727,0.5447,1.9382
1000,4.2047,0.8596,0.0353,-1.0335,0.5831,2.2768
34000,-296.6125,0.7606,64.624,-1397.7316,0.5506,1.9557
2000,2.2808,0.7079,0.4795,-9.014,0.5644,2.8617
3000,4.0921,0.8205,1.7162,-18.4883,0.5579,3.913
35000,-374.0019,0.7786,58.5849,-1530.9368,0.5347,1.9201
4000,28.2739,0.8504,8.8841,-30.7941,0.5652,5.4434
36000,-313.1249,0.7995,76.914,-1562.2739,0.5452,1.9271
5000,55.5532,2.0192,14.7454,-32.3769,1.0113,2.1712
37000,-283.4898,0.8169,93.2037,-1651.2405,0.5379,1.9299
6000,6.8278,1.7463,2.1061,-24.526,0.8063,2.1118
38000,-282.1873,0.7426,108.2888,-1798.0604,0.5242,1.9363
7000,1.5846,1.2177,1.1875,-22.6806,0.6192,2.0857
39000,-517.0026,0.7716,52.6358,-1828.8953,0.5413,1.9235
8000,-0.1051,1.0004,0.7334,-20.0881,0.5831,2.0599
40000,-351.9462,0.79,97.6747,-1866.8379,0.542,1.9417
9000,0.2817,1.0366,0.6262,-18.4168,0.5564,2.205
41000,-428.2569,0.7829,103.5106,-2115.8975,0.537,1.9555
10000,4.5514,1.0266,2.2486,-23.9829,0.5587,2.4248
42000,-516.3257,0.8337,72.1061,-2022.5583,0.5494,1.9467
11000,2.0275,1.0068,2.2986,-30.5772,0.5888,2.2415
12000,2.8682,1.248,1.1586,-19.4769,0.6176,2.0746
43000,751.8438,0.824,407.3394,-2204.3862,0.5487,1.98
13000,1.3231,1.0464,0.9204,-18.7644,0.5175,2.2208
44000,12724.2627,0.7851,3401.2783,-2212.2527,0.5291,1.904
14000,1.0706,0.9987,0.8751,-18.8556,0.6109,2.5345
45000,616.1107,0.8035,384.0692,-2310.7573,0.5286,1.9708
